K2O_wt,Fe2O3T_wt,SiO2_wt,Al2O3_wt,P2O5_tot_wt,C_org_wt
1.9,6.2,60.3,8.1,1.7,6.3
2.1,6.2,54.6,8.9,1.6,7.0
1.9,6.0,55.8,7.7,1.6,6.6
1.9,7.0,49.4,8.9,1.6,7.4
1.7,6.3,49.2,7.9,2.0,10.1
1.8,6.9,49.0,8.6,1.9,6.5
1.8,7.3,49.4,8.5,1.9,8.7
1.9,6.3,58.6,8.7,1.4,4.2
2.75,1.96,73.67,8.6,0.07,0.07
1.07,1.0,85.14,4.04,0.04,0.16
1.07,1.6,82.66,4.82,0.06,0.43
1.64,3.86,70.65,9.16,0.08,0.17
1.39,3.86,74.24,6.67,0.17,0.56
1.32,5.78,63.02,8.05,0.14,1.53
1.15,9.18,60.0,7.3,0.16,0.12
1.84,3.85,72.31,8.76,0.13,0.15
2.74,6.73,62.37,12.44,0.1,0.41
1.31,4.09,49.67,4.95,0.17,0.09
1.19,28.06,32.39,11.31,0.18,0.05
4.29,3.48,70.42,12.62,0.04,0.22
2.54,4.69,61.52,12.81,0.12,0.15
2.76,6.47,65.01,14.19,0.02,0.15
1.87,4.58,62.23,10.8,0.02,0.4
1.97,5.71,58.06,10.06,0.11,0.14
2.29,4.85,73.88,11.67,0.14,0.32
1.91,3.32,70.02,10.34,0.02,0.51
2.11,3.22,67.17,9.23,0.03,0.14
2.73,2.49,71.39,8.68,0.11,0.16
2.26,3.16,72.64,10.36,0.12,0.1
1.77,3.05,66.41,9.82,0.1,0.04
2.9,4.3,69.0,14.6,0.2,6.9
2.9,7.6,47.6,21.8,0.9,4.5
3.5,6.2,52.4,18.4,0.6,5.7
3.1,7.1,46.0,22.8,1.2,6.7
3.2,6.9,46.8,23.2,1.2,6.9
3.6,5.5,61.4,18.6,0.4,6.2
3.7,3.1,67.0,13.7,0.5,1.8
3.2,5.9,53.2,19.2,1.9,6.2
3.1,6.2,52.8,18.4,1.1,8.0
3.1,7.0,49.8,20.9,2.2,6.7
3.4,4.7,61.3,16.1,0.9,8.9
3.0,6.7,49.8,16.8,0.2,1.3
2.8,6.6,48.4,16.1,0.4,3.8
