K2O_wt,Fe2O3T_wt,SiO2_wt,Al2O3_wt,P2O5_tot_wt,C_org_wt,Lat_deg,Lon_deg,Country,Region,Citation,Train
1.9,6.3,58.6,8.7,1.4,4.2,51.1282,4.3156,Belgium,Confluence of Rupel & Scheldt in Belgium,Zwolsman & van Eck 1999,1
1.9,6.2,60.3,8.1,1.7,6.3,51.1282,4.3156,Belgium,Confluence of Rupel & Scheldt in Belgium,Zwolsman & van Eck 1999,1
1.8,6.9,49,8.6,1.9,6.5,51.1282,4.3156,Belgium,Confluence of Rupel & Scheldt in Belgium,Zwolsman & van Eck 1999,1
1.9,6,55.8,7.7,1.6,6.6,51.1282,4.3156,Belgium,Confluence of Rupel & Scheldt in Belgium,Zwolsman & van Eck 1999,1
2.1,6.2,54.6,8.9,1.6,7,51.1282,4.3156,Belgium,Confluence of Rupel & Scheldt in Belgium,Zwolsman & van Eck 1999,1
1.9,7,49.4,8.9,1.6,7.4,51.1282,4.3156,Belgium,Confluence of Rupel & Scheldt in Belgium,Zwolsman & van Eck 1999,1
1.8,7.3,49.4,8.5,1.9,8.7,51.1282,4.3156,Belgium,Confluence of Rupel & Scheldt in Belgium,Zwolsman & van Eck 1999,1
1.7,6.3,49.2,7.9,2,10.1,51.1282,4.3156,Belgium,Confluence of Rupel & Scheldt in Belgium,Zwolsman & van Eck 1999,1
1.19,28.06,32.39,11.31,0.18,0.05,29.22,102.83,China,Upper Changjian,Borges et al. 2008,1
2.75,1.96,73.67,8.6,0.07,0.07,33.86,92.29,China,Upper Changjian,Borges et al. 2008,1
1.31,4.09,49.67,4.95,0.17,0.09,29.18,102.85,China,Upper Changjian,Borges et al. 2008,1
1.15,9.18,60,7.3,0.16,0.12,26.6,101.78,China,Upper Changjian,Borges et al. 2008,1
1.97,5.71,58.06,10.06,0.11,0.14,33.37,104.92,China,Upper Changjian,Borges et al. 2008,1
1.84,3.85,72.31,8.76,0.13,0.15,31.03,101.07,China,Upper Changjian,Borges et al. 2008,1
2.54,4.69,61.52,12.81,0.12,0.15,30.06,102.76,China,Upper Changjian,Borges et al. 2008,1
2.76,6.47,65.01,14.19,0.02,0.15,31.85,104.43,China,Upper Changjian,Borges et al. 2008,1
1.07,1,85.14,4.04,0.04,0.16,35.31,93.31,China,Upper Changjian,Borges et al. 2008,1
1.64,3.86,70.65,9.16,0.08,0.17,28.18,99.38,China,Upper Changjian,Borges et al. 2008,1
4.29,3.48,70.42,12.62,0.04,0.22,29.2,102.4,China,Upper Changjian,Borges et al. 2008,1
2.29,4.85,73.88,11.67,0.14,0.32,33.12,106.52,China,Upper Changjian,Borges et al. 2008,1
1.87,4.58,62.23,10.8,0.02,0.4,32.39,104.59,China,Upper Changjian,Borges et al. 2008,1
2.74,6.73,62.37,12.44,0.1,0.41,28.32,101.88,China,Upper Changjian,Borges et al. 2008,1
1.07,1.6,82.66,4.82,0.06,0.43,33.03,97.22,China,Upper Changjian,Borges et al. 2008,1
1.39,3.86,74.24,6.67,0.17,0.56,26.44,101.03,China,Upper Changjian,Borges et al. 2008,1
1.32,5.78,63.02,8.05,0.14,1.53,26.59,101.53,China,Upper Changjian,Borges et al. 2008,1
1.77,3.05,66.41,9.82,0.1,0.04,36,97.87,China,Upper Huanghe,Borges et al. 2008,1
2.26,3.16,72.64,10.36,0.12,0.1,35.93,94.79,China,Upper Huanghe,Borges et al. 2008,1
2.11,3.22,67.17,9.23,0.03,0.14,36.13,103.52,China,Upper Huanghe,Borges et al. 2008,1
2.73,2.49,71.39,8.68,0.11,0.16,34.73,104.87,China,Upper Huanghe,Borges et al. 2008,1
1.91,3.32,70.02,10.34,0.02,0.51,35.68,100.25,China,Upper Huanghe,Borges et al. 2008,1
3,6.7,49.8,16.8,0.2,1.3,44.88848,11.608048,Italy,North-East Italy,"Tesi et al. 2013, Pettine et al. 1994, Davide et al. 2003",1
2.8,6.6,48.4,16.1,0.4,3.8,44.88848,11.608048,Italy,North-East Italy,"Tesi et al. 2013, Pettine et al. 1994, Davide et al. 2003",1
3.1,7.7,52.7,16.6,0.1,0.9,45.181099,8.279532,Italy,Northern Italy,Davide et al. 2003,1
3.2,6.5,51.7,17.4,0.1,1,45.064849,8.1916112,Italy,Northern Italy,Davide et al. 2003,1
3.6,6.9,51.1,19.9,0.1,1.3,45.181169,7.890572,Italy,Northern Italy,Davide et al. 2003,1
3,6.4,52.1,17.1,0.2,1.3,45.131036,9.628029,Italy,Northern Italy,Davide et al. 2003,1
3.1,6.6,49.3,16.9,0.2,1.3,44.909869,10.5504,Italy,Northern Italy,Davide et al. 2003,1
3.1,6.7,49.4,17.2,0.2,1.4,45.045497,10.755387,Italy,Northern Italy,Davide et al. 2003,1
3,6.9,51.3,16.6,0.2,1.4,45.058073,11.202604,Italy,Northern Italy,Davide et al. 2003,1
4.1,7.7,46.2,21.4,0.1,2.6,44.886212,7.689685,Italy,Northern Italy,Davide et al. 2003,1
2.7,6.1,48.5,15.8,0.3,3.4,44.909869,10.5504,Italy,Northern Italy,Davide et al. 2003,1
2.6,6,47.4,15.7,0.4,4.2,45.045497,10.755387,Italy,Northern Italy,Davide et al. 2003,1
2.8,7.1,44.9,16.5,0.3,4.2,45.058073,11.202604,Italy,Northern Italy,Davide et al. 2003,1
2.8,6.8,48.6,15.5,0.4,5.1,45.181099,8.279532,Italy,Northern Italy,Davide et al. 2003,1
2.6,6.6,52,13.8,0.4,5.4,45.064849,8.1916112,Italy,Northern Italy,Davide et al. 2003,1
3,6.6,44.7,17.4,0.4,6,44.886212,7.689685,Italy,Northern Italy,Davide et al. 2003,1
2.7,6,47,15.3,0.4,6.1,45.181169,7.890572,Italy,Northern Italy,Davide et al. 2003,1
1.9,5,40,15,0.8,11.7,45.131036,9.628029,Italy,Northern Italy,Davide et al. 2003,1
2.11,4.45,72.86,12,0.09,0.19,21.13,94.85,Myanmar,Central Myanmar,Hossain et al. 2017,1
2.02,6.46,64.4,16.06,0.12,0.68,18.93,96.46,Myanmar,Central Myanmar,Hossain et al. 2017,1
2.06,4.17,66.2,9.21,0.09,0.13,25,98.87,Myanmar,Lower Salween,Borges et al. 2008,1
3.54,3.74,70.6,11.78,0.11,0.17,25.75,98.86,Myanmar,Lower Salween,Borges et al. 2008,1
1.74,4.03,68.11,8.42,0.08,0.24,29.63,97.89,Myanmar,Lower Salween,Borges et al. 2008,1
2.61,7.5,75.65,10.72,0.15,0.24,27.7,98.7,Myanmar,Lower Salween,Borges et al. 2008,1
2.07,5.03,66.45,9.2,0.09,0.25,25.9,98.84,Myanmar,Lower Salween,Borges et al. 2008,1
1.73,4.26,64.76,8.86,0.08,0.27,27.7,98.7,Myanmar,Lower Salween,Borges et al. 2008,1
2.09,5.68,61.89,11.55,0.21,0.27,25.85,98.87,Myanmar,Lower Salween,Borges et al. 2008,1
4.5,4.4,63.91,15.82,0.11,0.34,23.95,100.1,Myanmar,Lower Salween,Borges et al. 2008,1
1.82,4.6,62.24,8.41,0.12,0.35,26.93,98.87,Myanmar,Lower Salween,Borges et al. 2008,1
1.74,4.5,55.53,8.58,0.09,0.37,31.3,95.78,Myanmar,Lower Salween,Borges et al. 2008,1
1.76,5.97,55.42,10.06,0.06,0.42,31.26,95.88,Myanmar,Lower Salween,Borges et al. 2008,1
1.85,5.17,69.89,13.62,0.09,0.46,18.82,95.21,Myanmar,Southern Myanmar,Hossain et al. 2017,1
1.64,3.58,77.64,10.05,0.06,0.84,18.82,95.21,Myanmar,Southern Myanmar,Hossain et al. 2017,1
1.9,9.1,40.2,10.4,0.5,10.4,68.494996,33.05253,Russia,Kola,Pekka et al. 2004,1
1.4,7.1,6.3,1.7,7,22.1,68.505567,33.02573,Russia,Kola,Pekka et al. 2004,1
0.8,7.5,23.3,1.5,0.8,24.5,68.39315,33.093742,Russia,Kola,Pekka et al. 2004,1
1.1,8.5,24.1,3.9,1.5,25,68.514086,33.02559,Russia,Kola,Pekka et al. 2004,0
0.5,10.4,12.1,0.9,0.5,25.6,68.37698,33.16282,Russia,Kola,Pekka et al. 2004,1
0.8,7.1,22.8,2.2,0.7,25.6,68.371544,33.14142,Russia,Kola,Pekka et al. 2004,0
1.8,20.4,10.1,2.6,6,25.8,68.051677,33.012927,Russia,Kola,Pekka et al. 2004,1
1.8,12.4,27,8.7,4,29.4,68.505023,33.04199,Russia,Kola,Pekka et al. 2004,1
1.1,3.6,17.1,1.2,1,31.8,68.34131,33.101215,Russia,Kola,Pekka et al. 2004,0
1.1,1.2,12.7,0.5,0.7,34,68.32853,33.105805,Russia,Kola,Pekka et al. 2004,1
2.02,3.67,60.44,9.81,0.12,0.31,62.53,135.37,Russia,Lower Lena,Borges et al. 2008,1
2.73,3.32,71.81,11.71,0.1,0.36,67.23,123.54,Russia,Lower Lena,Borges et al. 2008,1
1.86,1.59,80.38,7.44,0.04,0.36,60.35,134.58,Russia,Lower Lena,Borges et al. 2008,1
2.58,3.76,69.65,12.77,0.12,0.37,63.18,133.48,Russia,Lower Lena,Borges et al. 2008,1
2.06,3.61,73.71,10.32,0.12,0.37,62.79,134.83,Russia,Lower Lena,Borges et al. 2008,1
2.77,4.02,69.54,12.71,0.12,0.4,63.38,131.88,Russia,Lower Lena,Borges et al. 2008,1
1.84,2.55,78.34,8.92,0.09,0.44,63.54,128.83,Russia,Lower Lena,Borges et al. 2008,1
2.48,3.11,70.83,11.9,0.1,0.47,63.38,130.32,Russia,Lower Lena,Borges et al. 2008,1
1.89,4.08,68.06,8.64,0.1,0.52,61.71,135.54,Russia,Lower Lena,Borges et al. 2008,1
2.22,2.97,75.03,10.51,0.09,0.57,60.61,135.17,Russia,Lower Lena,Borges et al. 2008,1
2.76,3.84,70.21,13.05,0.12,0.62,68.01,123.32,Russia,Lower Lena,Borges et al. 2008,1
